affiliation	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
Psiphon Inc., Toronto, Canada	Psiphon	NA	CA	Canada
Purdue University	Purdue University West Lafayette	https://ror.org/02dqehb95	US	United States
Purdue University, USA	Purdue University West Lafayette	https://ror.org/02dqehb95	US	United States
QMUL	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Qatar Computing Research Institute, Qatar	Hamad bin Khalifa University	https://ror.org/03eyq4y97	QA	Qatar
Qatar University, Qatar	Qatar University	https://ror.org/00yhnba62	QA	Qatar
Queen Mary University London	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary University of London	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary University of London, London	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary University of London, United Kingdom	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary University, United Kingdom	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary, University of London	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen Mary, University of London, United Kingdom	Queen Mary University of London	https://ror.org/026zzn846	GB	United Kingdom
Queen's University Belfast, United Kingdom	Queen's University Belfast	https://ror.org/00hswnk62	GB	United Kingdom
REST, CNRS, Ecole Polytechnique, France	École Polytechnique	https://ror.org/05hy3tk52	FR	France
RFF-CMCC European Institute on Economics and the Environment, Italy && European University Institute, Italy	RFF-CMCC European Institute on Economics and the Environment	https://ror.org/00pdj1108	IT	Italy
RUDN University, Russian Federation	Peoples' Friendship University of Russia	https://ror.org/02dn9h927	RU	Russia
RWI - Leibniz Institute for Economic Research && WZB Berlin Social Science Center	RWI – Leibniz Institute for Economic Research	https://ror.org/02pse8162	DE	Germany
RWI - Leibniz Institute for Economic Research, Germany	RWI – Leibniz Institute for Economic Research	https://ror.org/02pse8162	DE	Germany
Radboud Universiteit Nijmegen	Radboud University Nijmegen	https://ror.org/016xsfp80	NL	Netherlands
Radboud University Nijmegen	Radboud University Nijmegen	https://ror.org/016xsfp80	NL	Netherlands
Radboud University, Netherlands	Radboud University Nijmegen	https://ror.org/016xsfp80	NL	Netherlands
Radboud, Netherlands	Radboud University Nijmegen	https://ror.org/016xsfp80	NL	Netherlands
Redistricting Data Hub, USA	Redistricting Data Hub	NA	US	United States
Reed College, USA	Reed College	https://ror.org/00a6ram87	US	United States
Rice University	Rice University	https://ror.org/008zs3103	US	United States
Rice University && Technical University of Munich	Rice University	https://ror.org/008zs3103	US	United States
Rice University, Houston	Rice University	https://ror.org/008zs3103	US	United States
Rice University, USA	Rice University	https://ror.org/008zs3103	US	United States
Robert Schuman Center for Advanced Studies, European University Institute, Italy	European University Institute	https://ror.org/0031wrj91	IT	Italy
Rochester, USA	University of Rochester	https://ror.org/022kthw22	US	United States
Rollins College	Rollins College	https://ror.org/009vh5d61	US	United States
Roskilde University	Roskilde University	https://ror.org/014axpa37	DK	Denmark
Roskilde University, Denmark	Roskilde University	https://ror.org/014axpa37	DK	Denmark
Roviri I Virgili University, Spain	Rovira i Virgili University	https://ror.org/00g5sqv46	ES	Spain
Royal Holloway	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway University of London	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway University of London, United Kingdom	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway, United Kingdom	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway, University of London	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway, University of London, United Kingdom	Royal Holloway University of London	https://ror.org/04g2vpn86	GB	United Kingdom
Royal Holloway/University of London, United Kingdom	University College London	https://ror.org/02jx3x895	GB	United Kingdom
Rutgers University	Rutgers, The State University of New Jersey	https://ror.org/05vt9qd57	US	United States
Rutgers University, USA	Rutgers, The State University of New Jersey	https://ror.org/05vt9qd57	US	United States
SAIS, Johns Hopkins University, Washington DC	Johns Hopkins University	https://ror.org/00za53h95	US	United States
SAP, Germany	SAP	NA	DE	Germany
SGH Warsaw School of Economics && Institute for Structural Research	SGH Warsaw School of Economics	https://ror.org/032cph770	PL	Poland
SOAS	School of Oriental and African Studies	https://ror.org/04vrxay34	GB	United Kingdom
SOAS, University of London	School of Oriental and African Studies	https://ror.org/04vrxay34	GB	United Kingdom
STICERD	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
SUNY Buffalo, USA	University at Buffalo, State University of New York	https://ror.org/01y64my43	US	United States
SWPS University	University of Social Sciences and Humanities	https://ror.org/0407f1r36	PL	Poland
SWPS, Poland	University of Social Sciences and Humanities	https://ror.org/0407f1r36	PL	Poland
Sabanc? University	Sabancı University	https://ror.org/049asqa32	TR	Turkey
Sabanci University, Turkey	Sabancı University	https://ror.org/049asqa32	TR	Turkey
Sabancı University, Turkey	Sabancı University	https://ror.org/049asqa32	TR	Turkey
Saint Louis University	Saint Louis University	https://ror.org/01p7jjy08	US	United States
Salzburg University, Austria	University of Salzburg	https://ror.org/05gs8cd61	AT	Austria
San Diego State University, USA	San Diego State University	https://ror.org/0264fdx42	US	United States
San Francisco State University	San Francisco State University	https://ror.org/05ykr0121	US	United States
Santa Clara University, USA	Santa Clara University	https://ror.org/03ypqe447	US	United States
Sapienza University of Rome	Sapienza University of Rome	https://ror.org/02be6w209	IT	Italy
School of Geography, Politics and Sociology, Newcastle University	Newcastle University	https://ror.org/01kj2bm70	GB	United Kingdom
School of Governance, Utrecht University, Netherlands	Utrecht University	https://ror.org/04pp8hn57	NL	Netherlands
School of Oriental and African Studies, United Kingdom	School of Oriental and African Studies	https://ror.org/04vrxay34	GB	United Kingdom
School of Politics & International Relations, Australian National University	Australian National University	https://ror.org/019wvm592	AU	Australia
School of Politics and International Relations, University College Dublin	University College Dublin	https://ror.org/05m7pjf47	IE	Ireland
School of Public Policy and government, Hebrew University, Jerusalem	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
School of Social Sciences, The University of Manchester	University of Manchester	https://ror.org/027m9bs27	GB	United Kingdom
Science Po	Sciences Po	https://ror.org/05fe7ax82	FR	France
Science Po Paris, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
Science Po, Paris	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po / CEE, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po Bordeaux	Sciences Po Bordeaux	https://ror.org/01b5nw197	FR	France
Sciences Po Paris	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po Paris, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
Sciences Po, Paris	Sciences Po	https://ror.org/05fe7ax82	FR	France
SciencesPo Paris, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
SciencesPo, Cevipof	Sciences Po	https://ror.org/05fe7ax82	FR	France
SciencesPo, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
Scuola Normale Superiore	Scuola Normale Superiore di Pisa	https://ror.org/03aydme10	IT	Italy
Scuola Normale Superiore, Italy	Scuola Normale Superiore di Pisa	https://ror.org/03aydme10	IT	Italy
Seoul National University	Seoul National University	https://ror.org/04h9pn542	KR	South Korea
Shanghai University of Finance and Economics, China	Shanghai University	https://ror.org/006teas31	CN	China
Simon Fraser University	Simon Fraser University	https://ror.org/0213rcc28	CA	Canada
Simon Fraser University, Burnaby	Simon Fraser University	https://ror.org/0213rcc28	CA	Canada
Simon Fraser University, Canada	Simon Fraser University	https://ror.org/0213rcc28	CA	Canada
Singapore Management University	Singapore Management University	https://ror.org/050qmg959	SG	Singapore
Soongsil University, Korea, Republic of	Soongsil University	https://ror.org/017xnm587	KR	South Korea
Southwestern University	Southwestern University	https://ror.org/05gj63w50	US	United States
St Hilda's College, University of Oxford	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
St. Francis College	St. Francis College	https://ror.org/00571jt67	US	United States
Stanford GSB, USA	Stanford University	https://ror.org/00f54p054	US	United States
Stanford University	Stanford University	https://ror.org/00f54p054	US	United States
Stanford University, Stanford, USA	Stanford University	https://ror.org/00f54p054	US	United States
Stanford University, USA	Stanford University	https://ror.org/00f54p054	US	United States
Stanford University, USA. Standford, USA	Stanford University	https://ror.org/00f54p054	US	United States
Stanford, USA	Stanford University	https://ror.org/00f54p054	US	United States
Stiftung Wissenschaft und Politik (German Institute for International and Security Affairs)	Stiftung Wissenschaft und Politik, German Institute for International and Security Affairs	https://ror.org/05frkc804	DE	Germany
Stockholm University	Stockholm University	https://ror.org/05f0yaq80	SE	Sweden
Stockholm University, Sweden	Stockholm University	https://ror.org/05f0yaq80	SE	Sweden
Stony Brook University, USA	Stony Brook University	https://ror.org/05qghxh33	US	United States
Storytel	Storytel	NA	SE	Sweden
Storytel, Sweden	Storytel	NA	SE	Sweden
Strathclyde, United Kingdom	University of Strathclyde	https://ror.org/00n3w3b69	GB	United Kingdom
Stuttgart Media University	Stuttgart Media University	https://ror.org/022r03w28	DE	Germany
Suffolk University	University of Suffolk	https://ror.org/01cy0sz82	GB	United Kingdom
Superintendencia de Pensiones	Gobierno de Chile	https://ror.org/02sevrz47	CL	Chile
Superintendencia de Pensiones, Chile	Gobierno de Chile	https://ror.org/02sevrz47	CL	Chile
Swansea University	Swansea University	https://ror.org/053fq8t95	GB	United Kingdom
Swiss Data Science Center, Switzerland	Swiss Data Science Center	https://ror.org/02hdt9m26	CH	Switzerland
Syracuse University	Syracuse University	https://ror.org/025r5qe02	US	United States
Syracuse University, USA	Syracuse University	https://ror.org/025r5qe02	US	United States
TH Köln – University of Applied Sciences	TH Köln - University of Applied Sciences	https://ror.org/014nnvj65	DE	Germany
TU Braunschweig	Technische Universität Braunschweig	https://ror.org/010nsgg66	DE	Germany
TU Darmstadt	Technical University of Darmstadt	https://ror.org/05n911h24	DE	Germany
TU Darmstadt, Germany	Technical University of Darmstadt	https://ror.org/05n911h24	DE	Germany
TU Delft, Netherlands	Delft University of Technology	https://ror.org/02e2c7k09	NL	Netherlands
TU Dortmund University	TU Dortmund University	https://ror.org/01k97gp34	DE	Germany
TUB	Technical University of Berlin	https://ror.org/03v4gjf40	DE	Germany
TUM	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
TUM, Germany	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
Taiwan Studies Center, National Chengchi University (NCCU), Taiwan	National Chengchi University	https://ror.org/03rqk8h36	TW	Taiwan
Taras Shevchenko National University of Kyiv	Taras Shevchenko National University of Kyiv	https://ror.org/02aaqv166	UA	Ukraine
Technical University Dresden	TU Dresden	https://ror.org/042aqky30	DE	Germany
Technical University Dresden / Forum MIDEM, Germany	TU Dresden	https://ror.org/042aqky30	DE	Germany
Technical University Dublin	Technological University Dublin	https://ror.org/04t0qbt32	IE	Ireland
Technical University of Darmstadt	Technical University of Darmstadt	https://ror.org/05n911h24	DE	Germany
Technical University of Munich	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
Technical University of Munich, Germany	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
Technische Universität Darmstadt	TU Darmstadt	https://ror.org/05n911h24	DE	Germany
Technische Universität Darmstadt, Germany	Technical University of Darmstadt	https://ror.org/05n911h24	DE	Germany
Tecnologico de Monterrey, Mexico	Tecnológico de Monterrey	https://ror.org/03ayjn504	MX	Mexico
Tel Aviv University	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Tel Aviv University School of Political Science, Government, and International Relations	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Tel Aviv University, Israel	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Tel-Aviv University	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Tel-Aviv University, Israel	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Temple University	Temple University	https://ror.org/00kx1jb78	US	United States
Temple University Rome	Temple University Rome	NA	IT	Italy
Temple University, USA	Temple University	https://ror.org/00kx1jb78	US	United States
Temuco Catholic University	Temuco Catholic University	https://ror.org/051nvp675	CL	Chile
Texas A&M	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M Univeristy, USA	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University (U.S.A.)	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University (USA), College Station	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University College Station, USA	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University San Antonio	Texas A&M University – San Antonio	https://ror.org/0084njv03	US	United States
Texas A&M University San Antonio, USA	Texas A&M University – San Antonio	https://ror.org/0084njv03	US	United States
Texas A&M University, Bush School of Government	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University, College Station	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University, College Station, USA	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M University, USA	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M, College Station, TX	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas A&M, USA	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Texas Christian University	Texas Christian University	https://ror.org/054b0b564	US	United States
Texas Tech University	Texas Tech University	https://ror.org/0405mnx93	US	United States
Texas Tech University, USA	Texas Tech University	https://ror.org/0405mnx93	US	United States
The Alan Turing Institute	The Alan Turing Institute	https://ror.org/035dkdb55	GB	United Kingdom
The Chinese University of Hong Kong	Chinese University of Hong Kong	https://ror.org/00t33hh48	CN	China
The Danish Center for Social Science Research, Denmark	Danish Center for Social Science Research	https://ror.org/0523ssa79	DK	Denmark
The Graduate Institute Geneva	Graduate Institute of International and Development Studies	https://ror.org/007ygn379	CH	Switzerland
The Graduate Institute Geneva, Switzerland	Graduate Institute of International and Development Studies	https://ror.org/007ygn379	CH	Switzerland
The Hebrew University of Jerusalem	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
The Hebrew University of Jerusalem && The Open University of Israel	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
The Hebrew University of Jerusalem, Israel	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
The International Security Studies Program, the Fletcher School, Tufts University, Departmant of Middle Eastern Studies, Bar-Ilan University	Tufts University	https://ror.org/05wvpxv85	US	United States
The Leiden University Institute for Area Studies, Faculty of Humanities, Leiden University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
The London School of Economics and Political Science, United Kingdom	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
The London School of Economics, United Kingdom	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
The Ohio State University, USA	The Ohio State University	https://ror.org/00rs6vg23	US	United States
The Open University of Israel	Open University of Israel	https://ror.org/027z64205	IL	Israel
The University of Chicago, Chicago	University of Chicago	https://ror.org/024mw5h28	US	United States
The University of Edinburgh, United Kingdom	University of Edinburgh	https://ror.org/01nrxwf90	GB	United Kingdom
The University of Sheffield, United Kingdom	University of Sheffield	https://ror.org/05krs5044	GB	United Kingdom
The University of Sydney	University of Sydney	https://ror.org/0384j8v12	AU	Australia
The University of Texas at Austin	The University of Texas at Austin	https://ror.org/00hj54h04	US	United States
The University of Texas at Austin, USA	The University of Texas at Austin	https://ror.org/00hj54h04	US	United States
The University of Tokyo	University of Tokyo	https://ror.org/057zh3y96	JP	Japan
The University of Western Australia, Australia	University of Western Australia	https://ror.org/047272k79	AU	Australia
The Western Galilee College, Israel	Western Galilee College	https://ror.org/00ajd9b21	IL	Israel
The World Bank	World Bank	https://ror.org/00ae7jd04	US	United States
The World Bank, USA	World Bank	https://ror.org/00ae7jd04	US	United States
Tilburg University, Netherlands	Tilburg University	https://ror.org/04b8v1s79	NL	Netherlands
Tinbergen Institute && Vrije Universiteit Rotterdam	Tinbergen Institute	https://ror.org/054xxtt73	NL	Netherlands
Tohoku University	Tohoku University	https://ror.org/01dq60k83	JP	Japan
Tokyo University of Science	Tokyo University of Science	https://ror.org/05sj3n476	JP	Japan
Tokyo University of Science, Japan	Tokyo University of Science	https://ror.org/05sj3n476	JP	Japan
Tokyo University of Science, Tokyo	Tokyo University of Science	https://ror.org/05sj3n476	JP	Japan
Tony Blair Institute for Global Change, United Kingdom	Tony Blair Institute for Global Change	NA	GB	United Kingdom
Toronto Metropolitan University, Canada	Toronto Metropolitan University	https://ror.org/05g13zd79	CA	Canada
Toulouse School of Economics, France	Toulouse School of Economics	https://ror.org/00ff5f522	FR	France
Toulouse School of Economics, IAST, France	Toulouse School of Economics	https://ror.org/00ff5f522	FR	France
Trinity	Trinity University	https://ror.org/00t8gz605	US	United States
Trinity College Dublin	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Trinity College Dublin, Dublin	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Trinity College Dublin, Ireland	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Trinity College Dublin, TCD, Ireland	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Trinity College, Dublin, Ireland	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Trinity University, USA	Trinity University	https://ror.org/00t8gz605	US	United States
Triniy College Dublin	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Tufts University, Boston	Tufts University	https://ror.org/05wvpxv85	US	United States
Tulane University	Tulane University	https://ror.org/04vmvtb21	US	United States
Tulane University, New Orleans	Tulane University	https://ror.org/04vmvtb21	US	United States
Tulane University, USA	Tulane University	https://ror.org/04vmvtb21	US	United States
Turing Institute, United Kingdom	Turing Institute	https://ror.org/02x2mw849	GB	United Kingdom
U. of Barcelona && Institut d'Economia de Barcelona (IEB)	University of Barcelona	https://ror.org/021018s57	ES	Spain
U.S. Army War College, USA	United States Army War College	https://ror.org/02jakbh21	US	United States
UAB	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
UAB, Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
UAQ, Mexico	Autonomous University of Queretaro	https://ror.org/00v8fdc16	MX	Mexico
UC Berkeley, USA	University of California, Berkeley	https://ror.org/01an7q238	US	United States
UC Davies	University of California, Davis	https://ror.org/05rrcem69	US	United States
UC Davis, USA	University of California, Davis	https://ror.org/05rrcem69	US	United States
UC Irvine, USA	University of California, Irvine	https://ror.org/04gyf1771	US	United States
UC Louvain, Belgium	Université Catholique de Louvain	https://ror.org/02495e989	BE	Belgium
UC Riverside	University of California, Riverside	https://ror.org/03nawhv43	US	United States
UC Riverside, USA	University of California, Riverside	https://ror.org/03nawhv43	US	United States
UC San Diego, USA	University of California, San Diego	https://ror.org/0168r3w48	US	United States
UC Santa Barbara, USA	University of California, Santa Barbara	https://ror.org/02t274463	US	United States
UC-Riverside, USA	University of California, Riverside	https://ror.org/03nawhv43	US	United States
UC3M, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
UCD, Ireland	University College Dublin	https://ror.org/05m7pjf47	IE	Ireland
UCL	University College London	https://ror.org/02jx3x895	GB	United Kingdom
UCL, London	University College London	https://ror.org/02jx3x895	GB	United Kingdom
UCL, United Kingdom	University College London	https://ror.org/02jx3x895	GB	United Kingdom
UCLA, USA	University of California, Los Angeles	https://ror.org/046rm7j60	US	United States
UCLouvain, Belgium	Université Catholique de Louvain	https://ror.org/02495e989	BE	Belgium
UCSD	University of California, San Diego	https://ror.org/0168r3w48	US	United States
UCSD Department of Political Science, San Diego && UCSD School of Global Policy and Strategy, San Diego	University of California, San Diego	https://ror.org/0168r3w48	US	United States
UCSD School of Global Policy and Strategy, San Diego	University of California, San Diego	https://ror.org/0168r3w48	US	United States
UCSD, USA	University of California, San Diego	https://ror.org/0168r3w48	US	United States
UFMG, Brazil	Universidade Federal de Minas Gerais	https://ror.org/0176yjw32	BR	Brazil
UFPE, Brazil	Federal University of Pernambuco	https://ror.org/047908t24	BR	Brazil
UIUC, Urbana-Champaign	University of Illinois Urbana-Champaign	https://ror.org/047426m28	US	United States
ULB	Université Libre de Bruxelles	https://ror.org/01r9htc13	BE	Belgium
UNC Chapel Hill, USA	University of North Carolina at Chapel Hill	https://ror.org/0130frc33	US	United States
UNC Chapel Hilll, USA	University of North Carolina at Chapel Hill	https://ror.org/0130frc33	US	United States
UNCC, USA	University of North Carolina at Charlotte	https://ror.org/04dawnj30	US	United States
UNIGE, Switzerland	University of Geneva	https://ror.org/01swzsf04	CH	Switzerland
UNIVERSITY OF KANSAS (KU)	University of Kansas	https://ror.org/001tmjg57	US	United States
UNIVERSITY OF OXFORD, United Kingdom	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
UNSW Sydney	UNSW Sydney	https://ror.org/03r8z3t63	AU	Australia
UNSW Sydney, Australia	UNSW Sydney	https://ror.org/03r8z3t63	AU	Australia
UPF	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
US Naval War College	Naval War College	https://ror.org/01hehsy63	US	United States
USACH	University of Santiago Chile	https://ror.org/02ma57s91	CL	Chile
USC, Los Angeles	University of California, Los Angeles	https://ror.org/046rm7j60	US	United States
USC, USA	University of California, Los Angeles	https://ror.org/046rm7j60	US	United States
UV Amsterdam, Netherlands	Vrije Universiteit Amsterdam	https://ror.org/008xxew50	NL	Netherlands
UW Madison, USA	University of Wisconsin–Madison	https://ror.org/01y2jtd41	US	United States
UZH, Switzerland	University of Zurich	https://ror.org/02crff812	CH	Switzerland
UiT - The Arctic University of Norway, Norway	UiT The Arctic University of Norway	https://ror.org/00wge5k78	NO	Norway
Umeå University	Umeå University	https://ror.org/05kb8h459	SE	Sweden
Umeå University, Umeå	Umeå University	https://ror.org/05kb8h459	SE	Sweden
Uni Bern, Switzerland	University of Bern	https://ror.org/02k7v4d05	CH	Switzerland
United Nations University	United Nations University	https://ror.org/01cdrde68	JP	Japan
United States Army War College	United States Army War College	https://ror.org/02jakbh21	US	United States
United States Military Academy West Point, USA	United States Military Academy	https://ror.org/01jepya76	US	United States
United States Naval Academy, USA	United States Naval Academy	https://ror.org/00znex860	US	United States
Univer, United Kingdom	University of Southampton	https://ror.org/01ryk1543	GB	United Kingdom
Univeristy of Bologna, Bologna && Center for Research and Social Progress, Ponte dell'Olio	University of Bologna	https://ror.org/01111rn36	IT	Italy
Universidad Autónoma de Chile	Universidad Autónoma de Chile	https://ror.org/010r9dy59	CL	Chile
Universidad Autónoma de Madrid	Autonomous University of Madrid	https://ror.org/01cby8j38	ES	Spain
Universidad Carlos III	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Universidad Carlos III de Madrid	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Universidad Carlos III de Madrid, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Universidad Carlos III de Madrid, Spain && Carlos III-Juan March Institute, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Universidad Católica del Uruguay, Uruguay	Catholic University of Uruguay	https://ror.org/019xvpc30	UY	Uruguay
Universidad Complutense	Complutense University of Madrid	https://ror.org/02p0gd045	ES	Spain
Universidad Complutense de Madrid, Spain	Universidad Complutense de Madrid	https://ror.org/02p0gd045	ES	Spain
Universidad Complutense de Madrid, Universidad Carlos III de Madrid	Complutense University of Madrid	https://ror.org/02p0gd045	ES	Spain
Universidad Loyola Andalucía, Spain	Universidad Loyola Andalucía	https://ror.org/0075gfd51	ES	Spain
Universidad Pompeu Fabra, Spain	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universidad de Chile	University of Chile	https://ror.org/047gc3g35	CL	Chile
Universidad de Navarra, Spain	University of Navarra	https://ror.org/02rxc7m23	ES	Spain
Universidad de Salamanca, Spain	Universidad de Salamanca	https://ror.org/02f40zc51	ES	Spain
Universidad de Santiago de Chile, Chile	University of Santiago Chile	https://ror.org/02ma57s91	CL	Chile
Universidad de la República (Uruguay)	University of the Republic	https://ror.org/030bbe882	UY	Uruguay
Universidad de la República, Uruguay	University of the Republic	https://ror.org/030bbe882	UY	Uruguay
Universidad de los Andes, Colombia	Universidad de Los Andes	https://ror.org/02mhbdp94	CO	Colombia
Universidad del Pacífico, Peru	University of the Pacific	https://ror.org/05mmg7t28	PE	Peru
Universidade Europeia, Portugal	Universidade Europeia	https://ror.org/04bcdt432	PT	Portugal
Universidade da Coruña	University of A Coruña	https://ror.org/01qckj285	ES	Spain
Universidade de São Paulo	Universidade de São Paulo	https://ror.org/036rp1748	BR	Brazil
Universita Statale Milano, Italy	University of Milan	https://ror.org/00wjc7c48	IT	Italy
Universitat Autonoma de Barcelona	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Universitat Autonoma de Barcelona, Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Universitat Autònoma de Barcelona	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Universitat Autònoma de Barcelona, Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Universitat Oberta de Catalunya	Open University of Catalonia	https://ror.org/01f5wp925	ES	Spain
Universitat Oberta de Catalunya, Spain	Open University of Catalonia	https://ror.org/01f5wp925	ES	Spain
Universitat Pompeu Fabra	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra (UPF)	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra (UPF), Spain	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra, Barcelona	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra, IBEI	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra, Institut Barcelona d'Estudis Internacionals (IBEI)	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra, Spain	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra, Spain. Institut de Barcelona d'Estudis de Barcelona (IBEI), Spain	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat Pompeu Fabra/ RECSM	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
Universitat de Barcelona	University of Barcelona	https://ror.org/021018s57	ES	Spain
Universitat de Barcelona && IEB && IPErG	University of Barcelona	https://ror.org/021018s57	ES	Spain
Universitat de Barcelona, Spain	University of Barcelona	https://ror.org/021018s57	ES	Spain
Universite Pantheon Assas (Paris 2), Paris	Panthéon-Assas University	https://ror.org/04qb2qm38	FR	France
Universite de Montreal	Université de Montréal	https://ror.org/0161xgx34	CA	Canada
Universite de Montreal, Canada	University of Montreal	https://ror.org/0161xgx34	CA	Canada
Universiteit van Amsterdam, Netherlands	University of Amsterdam	https://ror.org/04dkp9463	NL	Netherlands
Universitry of Missouri	University of Missouri	https://ror.org/02ymw8z06	US	United States
University A Coruña	University of A Coruña	https://ror.org/01qckj285	ES	Spain
University Carlos III Madrid	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
University Carlos III of Madrid	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
University Carlos III of Madrid, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
University Carlos III, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
University Carlos III- IC3JM, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
University Colege Dublin, Ireland	University College Dublin	https://ror.org/05m7pjf47	IE	Ireland
